Time (s), Cell Name, Value
17.72, C13,0.15
17.72, C20,0.12
17.72, C26,0.21
17.72, C40,0.37
17.82, C13,0.18
17.82, C24,0.21
17.92, C9,0.15
17.92, C21,0.12
17.92, C22,0.11
17.92, C40,0.13
18.02, C6,0.1
18.02, C40,0.37
18.02, C51,0.11
18.12, C1,0.15
18.12, C56,0.17
18.22, C12,0.2
18.22, C40,0.33
18.32, C1,0.44
18.32, C5,0.12
18.32, C24,0.12
18.32, C28,0.11
18.32, C56,0.11
18.42, C2,0.12
18.42, C10,0.16
18.52, C0,0.26
18.52, C21,0.16
18.52, C24,0.1
18.52, C27,0.14
18.52, C28,0.17
18.52, C33,0.11
18.52, C40,0.35
18.52, C62,0.13
18.62, C43,0.2
18.72, C10,0.21
18.72, C13,0.23
18.72, C15,0.14
18.72, C40,0.14
18.72, C43,0.16
18.82, C10,0.19
18.82, C21,0.14
18.82, C40,0.23
18.92, C13,0.12
19.02, C5,0.14
19.02, C13,0.12
19.02, C40,0.3
19.02, C47,0.21
19.12, C3,0.11
19.12, C5,0.15
19.12, C21,0.12
19.12, C40,0.36
19.12, C47,0.52
19.22, C8,0.21
19.22, C18,0.12
19.22, C44,0.33
19.22, C59,0.15
19.22, C62,0.16
19.32, C8,0.17
19.32, C9,0.21
19.32, C19,0.11
19.32, C27,0.21
19.32, C28,0.12
19.32, C40,0.24
19.32, C41,0.31
19.32, C44,0.52
19.32, C59,0.14
19.32, C61,0.1
19.42, C9,0.46
19.42, C41,0.3
19.42, C43,0.13
19.42, C44,0.24
19.52, C9,0.35
19.52, C13,0.14
19.52, C21,0.31
19.52, C27,0.11
19.52, C40,0.48
19.52, C44,0.41
19.62, C9,0.5
19.62, C41,0.34
19.62, C44,0.32
19.72, C9,0.26
19.72, C15,0.15
19.72, C18,0.13
19.72, C21,0.12
19.72, C43,0.12
19.72, C44,0.3
19.72, C59,0.45
19.82, C38,0.13
19.82, C51,0.23
19.82, C59,0.64
19.92, C2,0.19
19.92, C60,0.2
20.02, C2,0.14
20.02, C40,0.69
20.12, C10,0.3
20.12, C13,0.13
20.12, C20,0.16
20.12, C26,0.37
20.12, C34,0.11
20.12, C50,0.15
20.22, C26,0.32
20.22, C28,0.13
20.22, C56,0.17
20.22, C60,0.12
20.32, C21,0.23
20.32, C26,0.2
20.32, C28,0.13
20.32, C38,0.26
20.32, C40,0.22
20.32, C62,0.11
20.42, C5,0.14
20.42, C13,0.26
20.42, C26,0.25
20.42, C40,0.18
20.52, C26,0.21
20.52, C40,0.44
20.62, C1,0.15
20.62, C43,0.2
20.82, C18,0.12
20.82, C40,0.67
20.82, C50,0.24
20.93, C21,0.11
20.93, C26,0.16
20.93, C32,0.16
20.93, C50,0.35
21.03, C2,0.14
21.03, C8,0.14
21.03, C13,0.16
21.03, C15,0.13
21.03, C30,0.15
21.03, C40,0.22
21.03, C49,0.16
21.03, C60,0.23
21.03, C62,0.12
21.13, C2,0.15
21.13, C8,0.15
21.13, C21,0.1
21.13, C30,0.1
21.13, C43,0.11
21.23, C21,0.13
21.23, C40,0.15
21.33, C13,0.2
21.33, C27,0.15
21.33, C40,0.3
21.43, C40,0.14
21.53, C2,0.19
21.53, C5,0.14
21.53, C21,0.11
21.63, C0,0.11
21.63, C30,0.17
21.63, C40,0.2
21.63, C43,0.34
21.63, C47,0.15
21.73, C2,0.11
21.73, C40,0.36
21.93, C59,0.15
22.03, C9,0.41
22.03, C21,0.1
22.03, C40,0.32
22.03, C59,0.14
22.13, C40,0.31
22.13, C54,0.1
22.13, C59,0.19
22.23, C40,0.17
22.33, C13,0.14
22.33, C40,0.14
22.33, C59,0.11
22.43, C5,0.1
22.43, C13,0.12
22.43, C34,0.12
22.43, C40,0.3
22.43, C59,0.13
22.53, C9,0.47
22.53, C44,0.11
22.63, C37,0.13
22.63, C40,0.43
22.73, C2,0.25
22.73, C5,0.11
22.73, C8,0.11
22.73, C9,0.75
22.73, C13,0.15
22.73, C18,0.2
22.73, C24,0.23
22.73, C54,0.17
22.83, C15,0.21
22.83, C60,0.1
22.93, C23,0.13
22.93, C40,0.37
22.93, C43,0.27
22.93, C50,0.26
23.03, C28,0.11
23.03, C34,0.16
23.03, C40,0.25
23.03, C50,0.21
23.03, C57,0.14
23.13, C13,0.13
23.13, C15,0.13
23.13, C19,0.13
23.13, C43,0.15
23.13, C49,0.11
23.23, C10,0.19
23.23, C54,0.11
23.33, C5,0.13
23.33, C43,0.12
23.43, C2,0.1
23.43, C13,0.18
23.43, C27,0.1
23.43, C34,0.16
23.43, C40,0.54
23.53, C13,0.14
23.53, C40,0.2
23.53, C44,0.2
23.63, C20,0.13
23.73, C28,0.12
23.73, C40,0.52
23.73, C59,0.1
23.83, C9,0.15
23.83, C62,0.62
23.93, C9,0.18
23.93, C18,0.15
23.93, C44,0.26
23.93, C60,0.2
23.93, C61,0.13
23.93, C62,0.16
24.03, C5,0.13
24.03, C9,0.1
24.03, C15,0.16
24.03, C21,0.34
24.03, C41,0.12
24.03, C43,0.1
24.03, C62,0.17
24.13, C9,0.19
24.13, C28,0.19
24.13, C44,0.21
24.23, C13,0.14
24.33, C13,0.1
24.33, C34,0.12
24.33, C50,0.13
24.33, C59,0.1
24.43, C2,0.15
24.43, C28,0.21
24.43, C40,0.66
24.43, C44,0.13
24.43, C50,0.12
24.43, C60,0.23
24.53, C15,0.15
24.53, C18,0.24
24.53, C30,0.19
